STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN022021900,"NEW DELHI SAFDARJUN, IN",01-01-2023,0,57,,42
IN022021900,"NEW DELHI SAFDARJUN, IN",02-01-2023,0,54,70,46
IN022021900,"NEW DELHI SAFDARJUN, IN",03-01-2023,0,52,63,
IN022021900,"NEW DELHI SAFDARJUN, IN",04-01-2023,0,49,61,40
IN022021900,"NEW DELHI SAFDARJUN, IN",05-01-2023,0,50,62,37
IN022021900,"NEW DELHI SAFDARJUN, IN",06-01-2023,0,49,62,39
IN022021900,"NEW DELHI SAFDARJUN, IN",07-01-2023,0,49,62,36
IN022021900,"NEW DELHI SAFDARJUN, IN",08-01-2023,0,49,,35
IN022021900,"NEW DELHI SAFDARJUN, IN",09-01-2023,0,53,,39
IN022021900,"NEW DELHI SAFDARJUN, IN",10-01-2023,,51,65,44
IN022021900,"NEW DELHI SAFDARJUN, IN",11-01-2023,0.3,54,66,43
IN022021900,"NEW DELHI SAFDARJUN, IN",12-01-2023,0,58,,49
IN022021900,"NEW DELHI SAFDARJUN, IN",13-01-2023,0,61,71,50
IN022021900,"NEW DELHI SAFDARJUN, IN",14-01-2023,0.25,56,71,
IN022021900,"NEW DELHI SAFDARJUN, IN",15-01-2023,,50,65,40
IN022021900,"NEW DELHI SAFDARJUN, IN",16-01-2023,0,52,64,35
IN022021900,"NEW DELHI SAFDARJUN, IN",17-01-2023,,52,,36
IN022021900,"NEW DELHI SAFDARJUN, IN",18-01-2023,0,51,67,37
IN022021900,"NEW DELHI SAFDARJUN, IN",19-01-2023,0,60,,42
IN022021900,"NEW DELHI SAFDARJUN, IN",20-01-2023,0,60,,51
IN022021900,"NEW DELHI SAFDARJUN, IN",21-01-2023,0,60,74,43
IN022021900,"NEW DELHI SAFDARJUN, IN",22-01-2023,,60,75,47
IN022021900,"NEW DELHI SAFDARJUN, IN",23-01-2023,0,61,,46
IN022021900,"NEW DELHI SAFDARJUN, IN",24-01-2023,,63,79,54
IN022021900,"NEW DELHI SAFDARJUN, IN",25-01-2023,,60,71,51
IN022021900,"NEW DELHI SAFDARJUN, IN",26-01-2023,0,57,67,
IN022021900,"NEW DELHI SAFDARJUN, IN",27-01-2023,0.5,55,,42
IN022021900,"NEW DELHI SAFDARJUN, IN",28-01-2023,0.23,57,,43
IN022021900,"NEW DELHI SAFDARJUN, IN",29-01-2023,,56,75,44
IN022021900,"NEW DELHI SAFDARJUN, IN",30-01-2023,0.79,58,66,50
IN022021900,"NEW DELHI SAFDARJUN, IN",31-01-2023,0,59,,50
IN022021900,"NEW DELHI SAFDARJUN, IN",01-02-2023,0,58,68,47
IN022021900,"NEW DELHI SAFDARJUN, IN",02-02-2023,0,63,,47
IN022021900,"NEW DELHI SAFDARJUN, IN",03-02-2023,0,62,76,49
IN022021900,"NEW DELHI SAFDARJUN, IN",04-02-2023,0,63,,48
IN022021900,"NEW DELHI SAFDARJUN, IN",05-02-2023,0,63,78,51
IN022021900,"NEW DELHI SAFDARJUN, IN",06-02-2023,0,68,,49
IN022021900,"NEW DELHI SAFDARJUN, IN",07-02-2023,0,66,84,55
IN022021900,"NEW DELHI SAFDARJUN, IN",08-02-2023,0,61,78,49
IN022021900,"NEW DELHI SAFDARJUN, IN",09-02-2023,0,67,,47
IN022021900,"NEW DELHI SAFDARJUN, IN",10-02-2023,0,71,85,56
IN022021900,"NEW DELHI SAFDARJUN, IN",11-02-2023,0,68,85,57
IN022021900,"NEW DELHI SAFDARJUN, IN",12-02-2023,0,62,82,50
IN022021900,"NEW DELHI SAFDARJUN, IN",13-02-2023,0,62,75,48
IN022021900,"NEW DELHI SAFDARJUN, IN",14-02-2023,0,64,,47
IN022021900,"NEW DELHI SAFDARJUN, IN",15-02-2023,0,67,,52
IN022021900,"NEW DELHI SAFDARJUN, IN",16-02-2023,0,67,,51
IN022021900,"NEW DELHI SAFDARJUN, IN",17-02-2023,0,69,84,55
IN022021900,"NEW DELHI SAFDARJUN, IN",18-02-2023,,70,86,53
IN022021900,"NEW DELHI SAFDARJUN, IN",19-02-2023,,70,,53
IN022021900,"NEW DELHI SAFDARJUN, IN",20-02-2023,0.23,73,89,56
IN022021900,"NEW DELHI SAFDARJUN, IN",21-02-2023,0.44,74,92,61
IN022021900,"NEW DELHI SAFDARJUN, IN",22-02-2023,0,71,89,58
IN022021900,"NEW DELHI SAFDARJUN, IN",23-02-2023,0,70,85,53
IN022021900,"NEW DELHI SAFDARJUN, IN",24-02-2023,0,68,,52
IN022021900,"NEW DELHI SAFDARJUN, IN",25-02-2023,0,70,,51
IN022021900,"NEW DELHI SAFDARJUN, IN",26-02-2023,0,73,,55
IN022021900,"NEW DELHI SAFDARJUN, IN",27-02-2023,,74,90,57
IN022021900,"NEW DELHI SAFDARJUN, IN",28-02-2023,,72,90,56
IN022021900,"NEW DELHI SAFDARJUN, IN",01-03-2023,0,72,90,
IN022021900,"NEW DELHI SAFDARJUN, IN",02-03-2023,0,74,88,57
IN022021900,"NEW DELHI SAFDARJUN, IN",03-03-2023,,78,90,
IN022021900,"NEW DELHI SAFDARJUN, IN",04-03-2023,,72,90,61
IN022021900,"NEW DELHI SAFDARJUN, IN",05-03-2023,0,74,,61
IN022021900,"NEW DELHI SAFDARJUN, IN",06-03-2023,,74,88,59
IN022021900,"NEW DELHI SAFDARJUN, IN",07-03-2023,0,74,,58
IN022021900,"NEW DELHI SAFDARJUN, IN",08-03-2023,,73,88,60
IN022021900,"NEW DELHI SAFDARJUN, IN",09-03-2023,,73,88,62
IN022021900,"NEW DELHI SAFDARJUN, IN",10-03-2023,0,75,88,59
IN022021900,"NEW DELHI SAFDARJUN, IN",11-03-2023,0,76,,59
IN022021900,"NEW DELHI SAFDARJUN, IN",12-03-2023,0,75,,59
IN022021900,"NEW DELHI SAFDARJUN, IN",13-03-2023,0,77,93,63
IN022021900,"NEW DELHI SAFDARJUN, IN",14-03-2023,0,78,92,63
IN022021900,"NEW DELHI SAFDARJUN, IN",15-03-2023,0,78,,61
IN022021900,"NEW DELHI SAFDARJUN, IN",16-03-2023,0,78,94,69
IN022021900,"NEW DELHI SAFDARJUN, IN",17-03-2023,,75,93,63
IN022021900,"NEW DELHI SAFDARJUN, IN",18-03-2023,0.08,69,87,65
IN022021900,"NEW DELHI SAFDARJUN, IN",19-03-2023,0,71,,60
IN022021900,"NEW DELHI SAFDARJUN, IN",20-03-2023,0.04,68,82,
IN022021900,"NEW DELHI SAFDARJUN, IN",21-03-2023,0.39,68,81,57
IN022021900,"NEW DELHI SAFDARJUN, IN",22-03-2023,0,72,,57
IN022021900,"NEW DELHI SAFDARJUN, IN",23-03-2023,,74,,59
IN022021900,"NEW DELHI SAFDARJUN, IN",24-03-2023,,71,87,64
IN022021900,"NEW DELHI SAFDARJUN, IN",25-03-2023,0.47,74,86,60
IN022021900,"NEW DELHI SAFDARJUN, IN",26-03-2023,0,75,87,60
IN022021900,"NEW DELHI SAFDARJUN, IN",27-03-2023,0,74,88,62
IN022021900,"NEW DELHI SAFDARJUN, IN",28-03-2023,0,74,,60
IN022021900,"NEW DELHI SAFDARJUN, IN",29-03-2023,0,77,,61
IN022021900,"NEW DELHI SAFDARJUN, IN",30-03-2023,0,72,92,
IN022021900,"NEW DELHI SAFDARJUN, IN",31-03-2023,0,70,92,62
IN022021900,"NEW DELHI SAFDARJUN, IN",01-04-2023,0,70,83,60
IN022021900,"NEW DELHI SAFDARJUN, IN",02-04-2023,0,74,,59
IN022021900,"NEW DELHI SAFDARJUN, IN",03-04-2023,,76,,62
IN022021900,"NEW DELHI SAFDARJUN, IN",04-04-2023,0.63,75,90,61
IN022021900,"NEW DELHI SAFDARJUN, IN",05-04-2023,0,75,88,61
IN022021900,"NEW DELHI SAFDARJUN, IN",06-04-2023,0,76,90,63
IN022021900,"NEW DELHI SAFDARJUN, IN",07-04-2023,0,77,92,
IN022021900,"NEW DELHI SAFDARJUN, IN",08-04-2023,0,78,93,57
IN022021900,"NEW DELHI SAFDARJUN, IN",09-04-2023,0,78,,60
IN022021900,"NEW DELHI SAFDARJUN, IN",10-04-2023,0,78,95,60
IN022021900,"NEW DELHI SAFDARJUN, IN",11-04-2023,,83,,62
IN022021900,"NEW DELHI SAFDARJUN, IN",12-04-2023,0,83,98,72
IN022021900,"NEW DELHI SAFDARJUN, IN",13-04-2023,0,83,,67
IN022021900,"NEW DELHI SAFDARJUN, IN",14-04-2023,,85,103,69
IN022021900,"NEW DELHI SAFDARJUN, IN",15-04-2023,,89,,68
IN022021900,"NEW DELHI SAFDARJUN, IN",16-04-2023,0,89,105,72
IN022021900,"NEW DELHI SAFDARJUN, IN",17-04-2023,0,87,105,71
IN022021900,"NEW DELHI SAFDARJUN, IN",18-04-2023,0,90,105,72
IN022021900,"NEW DELHI SAFDARJUN, IN",19-04-2023,0,88,105,74
IN022021900,"NEW DELHI SAFDARJUN, IN",20-04-2023,0,85,101,74
IN022021900,"NEW DELHI SAFDARJUN, IN",21-04-2023,0,85,97,71
IN022021900,"NEW DELHI SAFDARJUN, IN",22-04-2023,0,84,98,69
IN022021900,"NEW DELHI SAFDARJUN, IN",23-04-2023,,80,98,74
IN022021900,"NEW DELHI SAFDARJUN, IN",24-04-2023,0,82,,66
IN022021900,"NEW DELHI SAFDARJUN, IN",25-04-2023,0,81,94,69
IN022021900,"NEW DELHI SAFDARJUN, IN",26-04-2023,,84,,65
IN022021900,"NEW DELHI SAFDARJUN, IN",27-04-2023,,85,,69
IN022021900,"NEW DELHI SAFDARJUN, IN",28-04-2023,0,83,101,73
IN022021900,"NEW DELHI SAFDARJUN, IN",29-04-2023,,82,95,72
IN022021900,"NEW DELHI SAFDARJUN, IN",30-04-2023,0,76,92,
IN022021900,"NEW DELHI SAFDARJUN, IN",01-05-2023,0.04,72,84,67
IN022021900,"NEW DELHI SAFDARJUN, IN",02-05-2023,0.59,75,,67
IN022021900,"NEW DELHI SAFDARJUN, IN",03-05-2023,0,72,,
IN022021900,"NEW DELHI SAFDARJUN, IN",04-05-2023,1.18,77,87,60
IN022021900,"NEW DELHI SAFDARJUN, IN",05-05-2023,0,81,,67
IN022021900,"NEW DELHI SAFDARJUN, IN",06-05-2023,,83,93,70
IN022021900,"NEW DELHI SAFDARJUN, IN",07-05-2023,,83,,71
IN022021900,"NEW DELHI SAFDARJUN, IN",08-05-2023,0hj,83,99,69
IN022021900,"NEW DELHI SAFDARJUN, IN",09-05-2023,,87,99,69
IN022021900,"NEW DELHI SAFDARJUN, IN",10-05-2023,1.22,85,99,70
IN022021900,"NEW DELHI SAFDARJUN, IN",11-05-2023,1.54,86,,68
IN022021900,"NEW DELHI SAFDARJUN, IN",12-05-2023,0,89,,67
IN022021900,"NEW DELHI SAFDARJUN, IN",13-05-2023,0,92,108,72
IN022021900,"NEW DELHI SAFDARJUN, IN",14-05-2023,0,92,107,79
IN022021900,"NEW DELHI SAFDARJUN, IN",15-05-2023,0,93,106,77
IN022021900,"NEW DELHI SAFDARJUN, IN",16-05-2023,0,92,106,81
IN022021900,"NEW DELHI SAFDARJUN, IN",17-05-2023,0,92,,78
IN022021900,"NEW DELHI SAFDARJUN, IN",18-05-2023,0.39,85,106,71
IN022021900,"NEW DELHI SAFDARJUN, IN",19-05-2023,0,87,101,76
IN022021900,"NEW DELHI SAFDARJUN, IN",20-05-2023,,90,105,74
IN022021900,"NEW DELHI SAFDARJUN, IN",21-05-2023,,95,,75
IN022021900,"NEW DELHI SAFDARJUN, IN",22-05-2023,,97,111,81
IN022021900,"NEW DELHI SAFDARJUN, IN",23-05-2023,,97,111,
IN022021900,"NEW DELHI SAFDARJUN, IN",24-05-2023,,85,110,
IN022021900,"NEW DELHI SAFDARJUN, IN",25-05-2023,,85,,73
IN022021900,"NEW DELHI SAFDARJUN, IN",26-05-2023,0.08,84,98,69
IN022021900,"NEW DELHI SAFDARJUN, IN",27-05-2023,0.63,82,95,67
IN022021900,"NEW DELHI SAFDARJUN, IN",28-05-2023,0.08,86,,74
IN022021900,"NEW DELHI SAFDARJUN, IN",29-05-2023,0.28,81,96,71
IN022021900,"NEW DELHI SAFDARJUN, IN",30-05-2023,0.04,82,95,69
IN022021900,"NEW DELHI SAFDARJUN, IN",31-05-2023,0.91,78,97,69
IN022021900,"NEW DELHI SAFDARJUN, IN",01-06-2023,0,78,89,69
IN022021900,"NEW DELHI SAFDARJUN, IN",02-06-2023,0.01,83,91,69
IN022021900,"NEW DELHI SAFDARJUN, IN",03-06-2023,0,86,,73
IN022021900,"NEW DELHI SAFDARJUN, IN",04-06-2023,0.12,84,97,75
IN022021900,"NEW DELHI SAFDARJUN, IN",05-06-2023,0,89,,76
IN022021900,"NEW DELHI SAFDARJUN, IN",06-06-2023,0.02,90,100,73
IN022021900,"NEW DELHI SAFDARJUN, IN",07-06-2023,0,89,101,77
IN022021900,"NEW DELHI SAFDARJUN, IN",08-06-2023,,91,104,75
IN022021900,"NEW DELHI SAFDARJUN, IN",09-06-2023,,93,,81
IN022021900,"NEW DELHI SAFDARJUN, IN",10-06-2023,,94,,80
IN022021900,"NEW DELHI SAFDARJUN, IN",11-06-2023,0.02,91,107,77
IN022021900,"NEW DELHI SAFDARJUN, IN",12-06-2023,0,95,,84
IN022021900,"NEW DELHI SAFDARJUN, IN",13-06-2023,,98,,86
IN022021900,"NEW DELHI SAFDARJUN, IN",14-06-2023,0,97,107,85
IN022021900,"NEW DELHI SAFDARJUN, IN",15-06-2023,0,91,106,80
IN022021900,"NEW DELHI SAFDARJUN, IN",16-06-2023,0,89,,82
IN022021900,"NEW DELHI SAFDARJUN, IN",17-06-2023,,90,101,82
IN022021900,"NEW DELHI SAFDARJUN, IN",18-06-2023,0,91,103,83
IN022021900,"NEW DELHI SAFDARJUN, IN",19-06-2023,0.2,84,101,78
IN022021900,"NEW DELHI SAFDARJUN, IN",20-06-2023,0.16,90,,81
IN022021900,"NEW DELHI SAFDARJUN, IN",21-06-2023,0,89,101,81
IN022021900,"NEW DELHI SAFDARJUN, IN",22-06-2023,0.08,91,100,82
IN022021900,"NEW DELHI SAFDARJUN, IN",23-06-2023,0.02,92,99,81
IN022021900,"NEW DELHI SAFDARJUN, IN",24-06-2023,0,90,100,
IN022021900,"NEW DELHI SAFDARJUN, IN",25-06-2023,1.89,79,99,74
IN022021900,"NEW DELHI SAFDARJUN, IN",26-06-2023,0.08,85,,78
IN022021900,"NEW DELHI SAFDARJUN, IN",27-06-2023,0.24,86,,76
IN022021900,"NEW DELHI SAFDARJUN, IN",28-06-2023,0,87,,81
IN022021900,"NEW DELHI SAFDARJUN, IN",29-06-2023,0.67,84,98,75
IN022021900,"NEW DELHI SAFDARJUN, IN",30-06-2023,0.2,82,94,77
IN022021900,"NEW DELHI SAFDARJUN, IN",01-07-2023,1.06,86,94,78
IN022021900,"NEW DELHI SAFDARJUN, IN",02-07-2023,0,89,96,79
IN022021900,"NEW DELHI SAFDARJUN, IN",03-07-2023,1.1,92,,82
IN022021900,"NEW DELHI SAFDARJUN, IN",04-07-2023,0,89,101,85
IN022021900,"NEW DELHI SAFDARJUN, IN",05-07-2023,0,87,100,
IN022021900,"NEW DELHI SAFDARJUN, IN",06-07-2023,0,83,97,80
IN022021900,"NEW DELHI SAFDARJUN, IN",07-07-2023,,87,,80
IN022021900,"NEW DELHI SAFDARJUN, IN",08-07-2023,0.12,80,95,77
IN022021900,"NEW DELHI SAFDARJUN, IN",09-07-2023,6.02,80,,78
IN022021900,"NEW DELHI SAFDARJUN, IN",10-07-2023,4.21,81,87,77
IN022021900,"NEW DELHI SAFDARJUN, IN",11-07-2023,0.31,84,,76
IN022021900,"NEW DELHI SAFDARJUN, IN",12-07-2023,0,85,90,80
IN022021900,"NEW DELHI SAFDARJUN, IN",13-07-2023,0.04,86,94,79
IN022021900,"NEW DELHI SAFDARJUN, IN",14-07-2023,0.08,87,94,80
IN022021900,"NEW DELHI SAFDARJUN, IN",15-07-2023,0,85,,
IN022021900,"NEW DELHI SAFDARJUN, IN",16-07-2023,0.51,85,94,78
IN022021900,"NEW DELHI SAFDARJUN, IN",17-07-2023,0.31,88,96,80
IN022021900,"NEW DELHI SAFDARJUN, IN",18-07-2023,0,85,94,81
IN022021900,"NEW DELHI SAFDARJUN, IN",19-07-2023,0.03,89,,82
IN022021900,"NEW DELHI SAFDARJUN, IN",20-07-2023,0,92,,82
IN022021900,"NEW DELHI SAFDARJUN, IN",21-07-2023,0,93,101,85
